Orgunit ID,Data ID,Orgunit name,Data,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,Max Z score,Max modified Z score,Gap weight,Outlier weight,Total weight
yhCUgGcCcOo,dlldM4hP2Wk,Machakos County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,273,282,319,228,227,182,223,229,204,208,215,170,2.1,3.34,0,97,97
R6f9znhg37c,dlldM4hP2Wk,Mandera County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,2,2,3,2,4,4,2,9,8,4,6,1,2,2.47,0,6,6
Eey8fT4Im3y,dlldM4hP2Wk,Marsabit County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,16,13,9,8,9,9,14,16,10,12,6,2,2.02,1.69,0,9,9
fVra3Pwta0Q,dlldM4hP2Wk,Migori County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,563,602,789,633,602,618,563,550,409,517,570,339,2.02,3.61,0,3,3
wsBsC6gjHvn,dlldM4hP2Wk,Mombasa County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,412,482,494,369,356,453,385,428,417,426,447,238,2.51,3.64,0,186,186
ahwTMNAJvrL,dlldM4hP2Wk,Muranga County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,169,129,135,110,97,77,89,97,103,108,98,103,2.43,6.85,0,65,65
uepLTG8wGWJ,dlldM4hP2Wk,Nyamira County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,158,192,209,143,175,155,176,136,99,183,159,156,2.19,2.36,0,68,68
ptWVfaCIdVx,dlldM4hP2Wk,Nyeri County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,105,105,128,103,94,95,122,111,93,109,103,90,2.01,2.02,0,25,25
o36zCRjSd4G,dlldM4hP2Wk,Samburu County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,33,44,43,26,43,47,64,33,38,34,24,11,2.05,2.52,0,30,30
u4t9H8XyU9P,dlldM4hP2Wk,Siaya County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,822,790,971,628,532,603,433,353,440,495,498,499,2.08,3.61,0,417,417
kphDeKClFch,dlldM4hP2Wk,Turkana County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,170,148,157,143,114,140,124,281,245,135,104,87,2.26,4.18,0,139,139
pZqQRRW7PHP,dlldM4hP2Wk,Uasin Gishu County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,297,318,360,268,276,197,263,250,285,248,213,126,2.19,3.69,0,144,144
sANMZ3lpqGs,dlldM4hP2Wk,Vihiga County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,126,130,176,149,125,112,122,100,104,108,119,136,2.39,2.95,0,55,55
Tvf1zgVZ0K4,kmuBTU9NAjw,Busia County,MOH 731  Tested_Couples HV01-15,151,173,262,212,127,40,151,151,188,144,90,154,2.03,3.26,0,124,124
