county,year,month,value
Makueni County,2019,11,1528
Mandera County,2019,11,920
Marsabit County,2019,11,595
Meru County,2019,11,1145
Migori County,2019,11,31348
Mombasa County,2019,11,11670
Muranga County,2019,11,47
Nairobi County,2019,11,5010
Nakuru County,2019,11,4965
Nandi County,2019,11,5115
Narok County,2019,11,3258
Nyamira County,2019,11,2032
Nyandarua County,2019,11,140
Nyeri County,2019,11,93
Samburu County,2019,11,954
Siaya County,2019,11,56903
Taita Taveta County,2019,11,259
Tana River County,2019,11,1076
Tharaka Nithi County,2019,11,766
Trans Nzoia County,2019,11,7027
Turkana County,2019,11,35884
Uasin Gishu County,2019,11,4749
Vihiga County,2019,11,17717
Wajir County,2019,11,186
West Pokot County,2019,11,14702
Baringo County,2019,12,5627
Bomet County,2019,12,577
Bungoma County,2019,12,40079
Busia County,2019,12,37185
Elgeyo Marakwet County,2019,12,3250
Embu County,2019,12,415
Garissa County,2019,12,790
Homa Bay County,2019,12,18163
Isiolo County,2019,12,976
Kajiado County,2019,12,887
Kakamega County,2019,12,52303
Kericho County,2019,12,3927
Kiambu County,2019,12,1080
Kilifi County,2019,12,38821
Kirinyaga County,2019,12,158
Kisii County,2019,12,13255
Kisumu County,2019,12,38298
Kitui County,2019,12,2239
Kwale County,2019,12,27766
Laikipia County,2019,12,360
Lamu County,2019,12,65
Machakos County,2019,12,1519
Makueni County,2019,12,1335
Mandera County,2019,12,949
Marsabit County,2019,12,410
Meru County,2019,12,1128
Migori County,2019,12,30359
Mombasa County,2019,12,13156
Muranga County,2019,12,96
Nairobi County,2019,12,8310
Nakuru County,2019,12,3577
Nandi County,2019,12,5505
Narok County,2019,12,3387
Nyamira County,2019,12,2438
Nyandarua County,2019,12,148
Nyeri County,2019,12,81
Samburu County,2019,12,847
Siaya County,2019,12,58589
Taita Taveta County,2019,12,376
Tana River County,2019,12,970
Tharaka Nithi County,2019,12,958
Trans Nzoia County,2019,12,5909
Turkana County,2019,12,37668
Uasin Gishu County,2019,12,4761
Vihiga County,2019,12,20046
Wajir County,2019,12,137
West Pokot County,2019,12,11909
Baringo County,2020,1,14060
Bomet County,2020,1,2254
Bungoma County,2020,1,74140
Busia County,2020,1,64712
Elgeyo Marakwet County,2020,1,7286
Embu County,2020,1,701
Garissa County,2020,1,890
Homa Bay County,2020,1,34665
Isiolo County,2020,1,776
Kajiado County,2020,1,2447
Kakamega County,2020,1,135087
Kericho County,2020,1,5762
Kiambu County,2020,1,2016
Kilifi County,2020,1,39759
Kirinyaga County,2020,1,179
Kisii County,2020,1,19292
Kisumu County,2020,1,80837
Kitui County,2020,1,2721
Kwale County,2020,1,46486
Laikipia County,2020,1,358
Lamu County,2020,1,184
Machakos County,2020,1,5312
Makueni County,2020,1,2069
Mandera County,2020,1,719
Marsabit County,2020,1,1536
Meru County,2020,1,2700
Migori County,2020,1,36288
Mombasa County,2020,1,38234
Muranga County,2020,1,77
Nairobi County,2020,1,13871
Nakuru County,2020,1,8014
Nandi County,2020,1,7336
Narok County,2020,1,6569
Nyamira County,2020,1,2586
Nyandarua County,2020,1,255
Nyeri County,2020,1,216
Samburu County,2020,1,1856
Siaya County,2020,1,86893
Taita Taveta County,2020,1,530
Tana River County,2020,1,1927
Tharaka Nithi County,2020,1,2551
Trans Nzoia County,2020,1,10509
Turkana County,2020,1,38261
Uasin Gishu County,2020,1,5529
Vihiga County,2020,1,24835
Wajir County,2020,1,282
West Pokot County,2020,1,12993
Baringo County,2020,2,13176
Bomet County,2020,2,2392
Bungoma County,2020,2,73431
Busia County,2020,2,71621
Elgeyo Marakwet County,2020,2,5331
Embu County,2020,2,762
Garissa County,2020,2,812
Homa Bay County,2020,2,43284
Isiolo County,2020,2,1091
Kajiado County,2020,2,1857
Kakamega County,2020,2,116467
Kericho County,2020,2,5252
Kiambu County,2020,2,1542
Kilifi County,2020,2,34410
Kirinyaga County,2020,2,133
Kisii County,2020,2,21518
Kisumu County,2020,2,64154
Kitui County,2020,2,2680
Kwale County,2020,2,32300
Laikipia County,2020,2,495
Lamu County,2020,2,185
Machakos County,2020,2,4549
Makueni County,2020,2,2330
Mandera County,2020,2,569
Marsabit County,2020,2,1883
Meru County,2020,2,1953
Migori County,2020,2,70204
Mombasa County,2020,2,13054
Muranga County,2020,2,82
Nairobi County,2020,2,8495
Nakuru County,2020,2,10054
Nandi County,2020,2,9575
Narok County,2020,2,7137
Nyamira County,2020,2,5185
Nyandarua County,2020,2,198
Nyeri County,2020,2,117
Samburu County,2020,2,2031
Siaya County,2020,2,97273
Taita Taveta County,2020,2,355
Tana River County,2020,2,1610
Tharaka Nithi County,2020,2,1924
Trans Nzoia County,2020,2,11784
Turkana County,2020,2,27397
